experiment_id,batch_id,task_type,trial_id,stage_id,mission_id,uav_id,dispatch_time,arrival_time,completion_time,arrival_time_error,final_position_error
experiments_10,exp10-formal-20260731,task_a_simple,2,1,1,6,8.904805827000018,18.91880304299957,10.013997215999552,0.015102768316864967,0.3519071936607361
experiments_10,exp10-formal-20260731,task_a_simple,2,1,1,7,8.904928657999335,18.917668956999478,10.012740299000143,0.014489914290606976,0.33111101388931274
experiments_10,exp10-formal-20260731,task_a_simple,2,1,1,8,8.905047752999963,18.921330832999956,10.016283079999994,0.017202744260430336,0.34282201528549194
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,1,9.231630162999863,19.238653358999727,10.007023195999864,0.008754288777709007,0.38760679960250854
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,2,9.231890218999979,19.23967040900061,10.00778019000063,0.009492818266153336,0.366563618183136
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,3,9.23202729500008,19.240321625000433,10.008294330000354,0.010249670594930649,0.36189404129981995
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,4,9.23215879000054,19.232260250000763,10.000101460000224,0.0018657949985936284,0.35367658734321594
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,5,9.232286930000555,19.245588911000596,10.01330198100004,0.015233268029987812,0.34416747093200684
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,6,9.23240553100004,19.244844991999344,10.012439460999303,0.014206009916961193,0.34585288166999817
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,7,9.232521927999187,19.243792335999387,10.0112704080002,0.013341114856302738,0.3464931845664978
experiments_10,exp10-formal-20260731,task_a_simple,4,1,1,8,9.232655457999499,19.249688396999773,10.017032939000273,0.018787916749715805,0.3377678394317627
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,1,9.083605817999342,19.08569389799959,10.002088080000249,0.0032724710181355476,0.38574546575546265
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,2,9.08383744099956,19.092282040999635,10.008444600000075,0.009774522855877876,0.36959418654441833
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,3,9.084064063999904,19.100986544999614,10.01692248099971,0.018734434619545937,0.37145185470581055
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,4,9.084234010999353,19.086616942000546,10.002382931001193,0.0036382449325174093,0.3494981527328491
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,5,9.084543508999559,19.08245913800056,9.997915629001,0.00012105600035283715,0.3439164459705353
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,6,9.084681165999427,19.088421140999344,10.003739974999917,0.006078292150050402,0.35212016105651855
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,7,9.08481347399902,19.09436031199948,10.00954683800046,0.011436778120696545,0.34511297941207886
experiments_10,exp10-formal-20260731,task_a_simple,5,1,1,8,9.084947593999459,19.087367472999176,10.002419878999717,0.004357086028903723,0.33900028467178345
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,1,15.662706889001129,44.24826005000068,28.585553160999552,18.586442947387695,0.3531782329082489
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,2,15.662908174001132,44.462424315001044,28.799516140999913,18.80092430114746,0.3384169042110443
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,3,15.663038376000259,25.66519222399984,10.00215384799958,0.0029780729673802853,0.34250080585479736
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,4,15.663200508000955,25.666243761999795,10.00304325399884,0.00418607285246253,0.3491032123565674
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,5,15.663404488001106,25.66775766200044,10.004353173999334,0.006172413006424904,0.37005552649497986
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,6,15.663557462999961,25.665328266999495,10.001770803999534,0.003394979052245617,0.34406229853630066
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,7,15.663695430001098,26.165188220000346,10.501492789999247,0.5027844905853271,0.3589906692504883
experiments_10,exp10-formal-20260731,task_b_sequential,1,1,1,8,15.663821124000606,28.878191674000846,13.21437055000024,3.216365098953247,0.3605295419692993
