bag_time_ns,average_speed,duration,gain_multiplier,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,omega_c_x,omega_c_y,omega_c_z,omega_o_x,omega_o_y,omega_o_z,peak_acceleration,peak_velocity,settling_time,target_distance,tracking_rmse,uav_id
1785206865846909583,2.5776634216308594,3.0,1.0,world,846882901,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.0255059003829956,1
1785206865946911864,2.5776634216308594,3.0,1.0,world,946885804,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.0123435258865356,1
1785206866046935211,2.5776634216308594,3.0,1.0,world,46890444,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9997707605361938,1
1785206866146955636,2.5776634216308594,3.0,1.0,world,146908435,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9876496195793152,1
1785206866246977243,2.5776634216308594,3.0,1.0,world,246907018,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9759113192558289,1
1785206866346970977,2.5776634216308594,3.0,1.0,world,346909519,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9645662307739258,1
1785206866447007664,2.5776634216308594,3.0,1.0,world,446939152,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9535826444625854,1
1785206866546975769,2.5776634216308594,3.0,1.0,world,546928458,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9429636597633362,1
1785206866646980534,2.5776634216308594,3.0,1.0,world,646923965,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9327417016029358,1
1785206866746982183,2.5776634216308594,3.0,1.0,world,746930974,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9228503704071045,1
1785206866846990715,2.5776634216308594,3.0,1.0,world,846926462,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.9132237434387207,1
1785206866946992996,2.5776634216308594,3.0,1.0,world,946933852,1785206866,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.903872013092041,1
1785206867047018235,2.5776634216308594,3.0,1.0,world,46952629,1785206867,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.8948485851287842,1
1785206867147024072,2.5776634216308594,3.0,1.0,world,146954257,1785206867,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.8861169815063477,1
1785206867246998327,2.5776634216308594,3.0,1.0,world,246942480,1785206867,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,0.8776050806045532,1
