request_id,attempt_index,request_ros_s,attempt_ros_s,attempt_monotonic_s,uav_id,state_age_ms,snapshot_skew_ms,result,deadline_expired
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590396845,4,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590397216,5,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590397927,6,13369.982957839966,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590398348,7,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590398779,8,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.590445867,1,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.590446749,2,13374.065399169922,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.59044718,3,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.59044765,4,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.590448051,5,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.590448612,6,13370.03469467163,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.590449003,7,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,3,1787386048.4407485,1787386048.4414554,16977.590449394,8,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.590493477,1,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.590494428,2,13374.11379814148,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.590494839,3,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.59049527,4,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.590495601,5,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.590496192,6,13370.083093643188,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.590496542,7,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,4,1787386048.4407485,1787386048.4415038,16977.590496893,8,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,5,1787386048.4407485,1787386048.4415505,16977.590540515,1,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
