trial_id,scenario,method,repeat,uav_id,elapsed_time_s,reference_x,reference_y,reference_z,actual_x,actual_y,actual_z,tracking_error_m,actual_speed_mps,actual_acceleration_mps2
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,19.600494384765625,10.0,19.5,5.0,10.00452709197998,19.500615119934082,5.045231819152832,0.04546196758747101,0.17004181020341724,1.341970672546068
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,19.700490951538086,10.0,19.5,5.0,9.987229347229004,19.498151779174805,5.032334804534912,0.03481443598866463,0.6957118891790101,6.226903484230945
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,19.80048179626465,10.0,19.5,5.0,9.971772193908691,19.49576234817505,4.979939937591553,0.03488800302147865,0.6497397827352246,0.731044400334736
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,19.900480270385742,10.0,19.5,5.0,9.972563743591309,19.495360374450684,4.997874736785889,0.02790682762861252,0.09219442891842303,7.053424399610996
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.00048828125,10.0,19.5,5.0,9.989092826843262,19.497443675994873,5.041860103607178,0.04333323612809181,0.18940045931826036,1.3836827521406478
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.100494384765625,10.0,19.5,5.0,10.007559776306152,19.500053882598877,5.028956413269043,0.029927028343081474,0.6865090900781751,5.997787770820626
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.200490951538086,10.0,19.5,5.0,10.02391242980957,19.502986907958984,4.97885274887085,0.0320613794028759,0.6151211303559604,0.829529547268153
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.30048370361328,10.0,19.5,5.0,10.02222728729248,19.504706382751465,5.000276565551758,0.02272176928818226,0.09844567359724903,7.0647677880113475
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.400487899780273,10.0,19.5,5.0,10.005615234375,19.504586696624756,5.046337127685547,0.04690093919634819,0.16347748537695503,1.7311075543084162
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.50050163269043,10.0,19.5,5.0,9.987709999084473,19.503811359405518,5.030907154083252,0.033478692173957825,0.7128544416591133,6.304171115534946
