trial_id,method,motion_style,repeat,elapsed_time_s,reference_x,reference_y,reference_z,actual_x,actual_y,actual_z,speed_mps,acceleration_mps2,jerk_mps3,roll_deg,pitch_deg,tracking_error_m
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,1.9000000000000001,4.484788573171974,2.9878385822185756,3.590352495391481,2.894790369882992,3.0331125807744685,2.2061880616976683,3.597045161008807,2.5783795713849185,43.457084485115004,10.069545139263,-5.117805645743874,2.1085670966109524
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,1.92,4.546774083752528,2.988336091461984,3.648019510545056,2.942290750277215,3.047817175039594,2.2459473794273244,3.642172036038644,2.8774939601443874,44.03104405855759,9.964136500805589,-1.4201390333927182,2.1315982331482255
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,1.94,4.607763261401405,2.988825603919718,3.704759606718198,3.0041399852961037,3.0667210819798343,2.298381733945693,3.687953803482491,3.266149517198876,43.39957352284215,9.842185717127572,3.496423590386159,2.134379075561094
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,1.96,4.6677173204038755,2.9893068082891623,3.7605367003749612,3.052382932838852,3.0808810292471214,2.340004636770949,3.730151540345785,3.57717697361217,43.515399151377764,9.755063850519349,7.39082834845042,2.1530449055514844
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,1.98,4.7265986832373965,2.9897794029649147,3.815315831997522,3.1152433593474176,3.0982635304913257,2.3951719828804827,3.766814836131606,3.928902071042256,42.75857010314737,9.609838317050057,12.4275887865475,2.1505913926031384
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.0,4.784371035489409,2.99024309647957,3.8690632171778856,3.164214361412522,3.1105354126884825,2.4386390117807215,3.7950191456901208,4.227329007096783,41.91447428511102,9.532386745869966,16.194913874625005,2.164599569731292
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.02,4.840999380775202,2.9906976079445036,3.921746297709648,3.2276604073056148,3.1247598767362,2.49543872142855,3.814765361678455,4.639327041215872,38.916634786379234,9.423809809449738,20.67307378451304,2.1575886163461138
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.04,4.896450095655696,2.9911426674906503,3.973333792679694,3.277103108382781,3.1335988983693728,2.5400636547845745,3.825540389084904,4.974769250941015,35.371572380271466,9.327498866302195,23.683525757928585,2.167219816051878
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.06,4.950690984555314,2.9915780167092905,4.0237957495599685,3.3420881208571034,3.137902827122246,2.5997342784307316,3.8297717092567165,5.349248230938303,30.480542961605227,9.25050429767855,26.973671423849325,2.1533613716223385
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.08,5.003691334679772,2.9920034090928302,4.073103595299175,3.392758969301829,3.1376623841820206,2.6462502341931846,3.8281155491814283,5.583957707371426,25.937457686306896,9.264191449603636,28.960050420583936,2.156902903921655
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.1,5.055421970933919,2.9924186104755854,4.121230187414525,3.4587422427775243,3.1353501298505084,2.7062748583857017,3.822561623070158,5.771939690168531,20.745238132333295,9.232770089984848,30.884451759136475,2.1382034881375227
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.12,5.10585531083957,2.992823399474563,4.168149865083471,3.5098845378825674,3.131738237958173,2.7520155317919097,3.81351991549337,5.832818217861185,16.004028777713014,9.215531143325062,31.82866270335393,2.13819000334653
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.14,5.154965419453317,2.993217567930244,4.213838500235428,3.5763975636158767,3.1249902575582116,2.8105929484894,3.803345192946599,5.808503022487943,12.954702505643992,9.13685587804659,32.45956124898185,2.1162085425850683
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.16,5.202728064284372,2.9936009213473658,4.258273548643521,3.6277543048962673,3.117972084305674,2.8549359608792697,3.7926405323266628,5.69248804772249,10.998275762201898,9.052158225251244,32.474888164723104,2.1131414799224135
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.18,5.249120770212372,2.9939732793357043,4.301434101016299,3.694526811088419,3.106840824126035,2.911453140131988,3.7833487477019867,5.455910348572433,13.720103700530489,8.910963446958208,32.025032753174536,2.0884320750344156
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.2,5.294122874405223,2.9943344760508572,4.343300934089479,3.746456257616947,3.096482171676915,2.954407492301898,3.775978145844447,5.1602596269060514,15.690004617337639,8.776194154135721,31.222656623268815,2.0820017053506783
