batch_id,task_type,attempt_id,trial_id,stage_id,stage_start_time,assignment_complete_time,first_command_dispatch_time,last_command_dispatch_time,reference_start_time,all_references_finished_time,all_uavs_stable_time,stage_end_time,planning_time,dispatch_time,reference_execution_time,trajectory_finish_spread,stabilization_delay,stable_hold_time,stable_arrival_spread,stage_wall_time,slowest_uav_id,valid,invalid_reason
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0009,2,3,108.246816674,108.28040320800028,108.28056309800013,108.28112977000092,108.36171896000087,118.37849154400101,119.682022899,119.68205533900073,0.033586534000278334,0.000726562000636477,10.097928446000878,0.01704386000164959,1.303531354998995,1.0050946305000252,0.39915216699955636,11.435238665000725,5,True,
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0010,2,1,21.76076011999976,21.825223011999697,21.825456759999724,21.825926539999273,21.90759271999923,31.924816868999187,nan,61.826137526999446,0.06446289199993771,0.0007035279995761812,10.099360108999463,0.017200561000208836,nan,nan,nan,40.06537740699969,8,False,missing_required_timestamp
exp10-formal-v2-gated-20260803,task_a_simple,attempt_0012,3,1,13.85122704099922,13.887285402999623,13.887519230998805,13.887981144998776,13.970455585998934,23.98818910799855,25.052617059998738,25.052653738999652,0.036058362000403577,0.0006957419991522329,10.100669876999746,0.01780941399920266,1.0644279520001874,1.0175584181256454,0.14211581499876047,11.201426698000432,1,True,
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0013,3,1,15.079924555000616,15.097424875000797,15.097642192000421,15.097985013000653,15.183882118999463,25.192900083000495,26.351016369999343,26.351039843999388,0.01750032000018109,0.0005601379998552147,10.095257891000074,0.009143270001004566,1.1581162869988475,1.0126081391247226,0.24245303699899523,11.271115288998772,4,True,
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0014,3,1,15.714465626000674,15.781518445000984,15.781745629999932,15.782244283000182,15.863788826000018,25.882308107000426,27.50192483200044,27.501972400999875,0.06705281900030968,0.0007258379991981201,10.100562477000494,0.0184814889998961,1.6196167250000144,1.0125814679997802,0.7124913770003332,11.787506774999201,7,True,
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0015,3,1,68.95465298499948,68.99090033799985,68.9911336339992,68.9915458659998,69.07257668800048,79.09032413800014,93.05274449299941,93.05278143199939,0.036247353000362637,0.0006455279999499908,10.099190504000944,0.017936681000719545,13.962420354999267,1.01000704424996,13.049434810998719,24.098128446999908,8,True,
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0015,3,2,93.05279398600032,93.08601743899999,93.08620730400071,93.08668743199996,93.16756325799906,101.18316283899912,106.25237612599994,106.25241189199915,0.033223452999664005,0.0006699929999740561,8.096955534998415,0.01566204499977175,5.069213287000821,1.017632193625559,4.138805504000629,13.19961790599882,8,True,
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0016,4,1,13.678888073000053,13.776127515000553,13.776365970999905,13.776723639999545,13.865395138000167,23.870890546999362,25.36572338299993,25.365766994000296,0.09723944200050028,0.000596124998992309,10.094524575999458,0.005718013999285176,1.494832836000569,1.0149109101248541,0.5774553980008932,11.686878921000243,1,True,
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0017,4,1,44.25885719800135,44.27473526000176,44.27494518200001,44.27547348000007,44.36022222900101,54.37343032100034,nan,84.27586913200139,0.015878062000410864,0.0007382199983112514,10.098485139000331,0.013410096000370686,nan,nan,nan,40.01701193400004,,False,missing_required_timestamp
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0018,4,1,59.22311186099978,59.257910514001196,59.25813042499976,59.25862705400141,59.344301398001335,69.35267963000115,93.06756556599976,93.06759806599985,0.034798653001416824,0.0007165400002122624,10.094549205001385,0.008534778000466758,23.71488593599861,1.0125173001247276,22.77964285899907,33.84448620500007,8,True,
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0018,4,2,93.06761052000002,93.09879892100071,93.09895578400028,93.09930408500077,93.1839761200008,101.19275786400067,106.44586154799981,106.44590258500102,0.031188401000690646,0.0005051640000601765,8.093802080000387,0.008306059000460664,5.253103683999143,1.0175499322501764,4.321329523998429,13.378292065001006,1,True,
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0019,4,1,17.42240325199964,17.439210013000775,17.439418783000292,17.43987351299984,17.52057323199915,27.531032008000693,28.8054551059995,28.805490131000624,0.016806761001134873,0.000663499999063788,10.091613225000401,0.010508986000786535,1.274423097998806,1.0152634187500098,0.36443105199941783,11.383086879000984,8,True,
