batch_id,task_type,attempt_id,trial_id,stage_count,execution_success,all_stages_valid,main_analysis_eligible,failure_reason,mission_wall_time,planning_time,dispatch_time,stage_wall_time,reference_execution_time,stabilization_delay,stable_hold_time,trajectory_finish_spread,stable_arrival_spread
exp10-paper-v1-20260804,task_c_grouped,attempt_0013,3,1,True,True,True,,11.790230995000456,0.017243300997506594,0.0005278050011838786,11.790230995000456,10.099754121998558,1.6729887900000904,1.0027779586257566,0.01700440100103151,0.7695187470017117
exp10-paper-v1-20260804,task_d_dense,attempt_0014,3,1,True,True,True,,11.998028284000611,0.03373160900082439,0.0005353300002752803,11.998028284000611,10.099981575000129,1.8640564720008115,1.0003246576247875,0.017166792997159064,0.9608628959977068
exp10-paper-v1-20260804,task_b_sequential,attempt_0015,3,2,True,True,True,,22.772638041999016,0.06782029600071837,0.0012299289992370177,22.772638041999016,18.19677790700007,4.507583208000142,2.007775147999382,0.018027281999820843,1.426708195998799
exp10-paper-v1-20260804,task_d_dense,attempt_0016,4,1,True,True,True,,12.038921004997974,0.06607511100082775,0.0005629819970636163,12.038921004997974,10.100620885998069,1.8719778919985401,1.0051165457498428,0.012533074997918447,0.9635746219973953
exp10-paper-v1-20260804,task_e_mixed,attempt_0017,4,3,True,True,True,,35.94251108499884,0.06641061700429418,0.001703572997939773,35.94251108499884,30.299612357001024,5.575768113001686,3.010213846624538,0.017387011997925583,0.7666954420019465
exp10-paper-v1-20260804,task_b_sequential,attempt_0018,4,2,True,True,True,,22.70220848500321,0.10135294599967892,0.0013091580003674608,22.70220848500321,18.19449118200282,4.4058518019955955,2.01022354237557,0.018197403001977364,1.280334948998643
exp10-paper-v1-20260804,task_c_grouped,attempt_0019,4,1,True,True,True,,11.836894930998824,0.01796778199786786,0.0006936780009709764,11.836894930998824,10.098217440001463,1.7204659890012408,1.000076789625382,0.016146056001161924,0.8163049150025472
exp10-paper-v1-20260804,task_a_simple,attempt_0020,4,1,True,True,True,,11.676782800001092,0.06294398500176612,0.0005773390003014356,11.676782800001092,10.09728324399839,1.5162888980012212,1.0026873439996962,0.01572777799810865,0.602304006999475
exp10-paper-v1-20260804,task_a_simple,attempt_0021,5,1,True,True,True,,11.666476764003164,0.06538700900273398,0.0006232759988051839,11.666476764003164,10.10102256600294,1.4998058559976926,1.0001278520003325,0.01374802500140504,0.5926347749991692
exp10-paper-v1-20260804,task_b_sequential,attempt_0022,5,2,True,True,True,,23.44259648100342,0.06641841000237036,0.0013108639977872372,23.44259648100342,18.20158378099586,5.174030996000511,2.002754388750418,0.014567081998393405,1.9544787259983423
exp10-paper-v1-20260804,task_c_grouped,attempt_0023,5,1,True,True,True,,11.83796659699874,0.018526040999859106,0.0007583209990116302,11.83796659699874,10.100466666001012,1.7186601079993125,1.012561729375193,0.01895242600221536,0.797502830002486
exp10-paper-v1-20260804,task_e_mixed,attempt_0024,5,3,True,True,True,,35.88455102499938,0.06380600199918263,0.0016651109981467016,35.88455102499938,30.2873019869985,5.532822054999997,3.0051333532496756,0.019132295998133486,0.7596742339992488
exp10-paper-v1-20260804,task_d_dense,attempt_0025,5,1,True,True,True,,12.461722116000601,0.06490110000231653,0.0006262520000746008,12.461722116000601,10.097233513999527,2.2993316700012656,1.007693291250689,0.016323378000379307,1.3852674110021326
exp10-paper-v1-20260804,task_c_grouped,attempt_0026,6,1,True,True,True,,11.839477057001204,0.017453209999075625,0.0005451490033010487,11.839477057001204,10.099032432997774,1.7227446569995664,1.0050624522496037,0.017447890000767075,0.8101202429970726
exp10-paper-v1-20260804,task_b_sequential,attempt_0027,6,2,True,True,True,,22.65539301899844,0.12586895899949013,0.001235219999216497,22.65539301899844,18.193089719003183,4.335937512998498,2.0052553541254383,0.09898689700276009,1.2786082720012928
