task_type,metric,count,mean,std,median,iqr,min,max,p90,p95,coefficient_of_variation,attempt_count,execution_entry_count,execution_success_count,main_analysis_count
task_d_dense,planning_time,10,0.05278419019996363,0.015642606579587777,0.06370168349894811,0.029541483001594315,0.0333699639995757,0.06607511100082775,0.06606165959819918,0.06606838529951346,0.2963502238137691,10,10,10,10
task_d_dense,reference_execution_time,10,10.097892860699721,0.002954870560587251,10.098887067500982,0.0029752405007457128,10.091941598999256,10.100703350999538,10.100629132498216,10.100666241748877,0.000292622490785914,10,10,10,10
task_d_dense,stabilization_delay,10,1.9884109894996072,0.19738251719353175,1.8777763355010393,0.2046932375005781,1.8148240829978022,2.3568734750006115,2.3050858505012,2.330979662750906,0.09926645861236362,10,10,10,10
task_d_dense,stage_wall_time,10,12.13934507419981,0.20332908767919533,12.036806808999245,0.2228579662505581,11.977006367000286,12.515149143997405,12.467064818800282,12.491106981398843,0.01674959286818018,10,10,10,10
task_d_dense,mission_wall_time,10,12.13934507419981,0.20332908767919533,12.036806808999245,0.2228579662505581,11.977006367000286,12.515149143997405,12.467064818800282,12.491106981398843,0.01674959286818018,10,10,10,10
task_d_dense,trajectory_finish_spread,10,0.014929046499310062,0.003092177781745124,0.015824512998733553,0.0038010564994692686,0.008783617002336541,0.018077900000207592,0.01799314969975967,0.01803552484998363,0.2071249347296244,10,10,10,10
task_d_dense,stable_arrival_spread,10,1.0709738613990338,0.19424062007901183,0.9672042374986631,0.18503595749916713,0.8813380969986611,1.4275327289979032,1.3894939428017097,1.4085133358998063,0.18136821735805164,10,10,10,10
task_d_dense,tracking_rmse,10,0.6412823046699965,0.013811849280786923,0.6359029090468172,0.020784653103996464,0.6285276537375322,0.6642484974305621,0.6606655497656658,0.662457023598114,0.021537861219941962,10,10,10,10
task_d_dense,minimum_inter_agent_distance,10,1.2448143912177354,0.11550154861664945,1.3063042892673635,0.17707562316658088,1.0300569564356261,1.3342582126911475,1.3341048385973366,1.334181525644242,0.09278616107872954,10,10,10,10
task_d_dense,mean_rtf,10,0.9965583365161796,0.00048691875620649594,0.9965332803070108,0.0007479577606003263,0.9958152940231512,0.9973212170285389,0.9970434786446399,0.9971823478365894,0.0004886003542037406,10,10,10,10
task_e_mixed,planning_time,10,0.06583037530072033,0.001611188457390959,0.0659469660022296,0.0022517105026054196,0.0636145580028824,0.06809058799990453,0.06804876229980436,0.06806967514985444,0.0244748484272021,10,10,10,10
task_e_mixed,reference_execution_time,10,30.29023046910188,0.0062080046061465995,30.290311865004696,0.008809093495983689,30.281919380002364,30.299612357001024,30.2974321043017,30.29852223065136,0.00020495072206463375,10,10,10,10
task_e_mixed,stabilization_delay,10,5.762714256198888,0.26397988639147385,5.818864228498569,0.3943887597479261,5.366883592992963,6.119409631002782,6.104168984198987,6.111789307600884,0.04580825539068046,10,10,10,10
task_e_mixed,stage_wall_time,10,36.11943876040059,0.26391491892467545,36.173050236500785,0.401020007500847,35.724242343003425,36.48008642300192,36.45583509679709,36.467960759899505,0.0073067281215348666,10,10,10,10
task_e_mixed,mission_wall_time,10,36.11943876040059,0.26391491892467545,36.173050236500785,0.401020007500847,35.724242343003425,36.48008642300192,36.45583509679709,36.467960759899505,0.0073067281215348666,10,10,10,10
task_e_mixed,trajectory_finish_spread,10,0.023335202900489092,0.022867136435326084,0.01772004299891705,0.002732916997047141,0.009264522002922604,0.08770494800046436,0.0260537231020862,0.056879335551275216,0.9799416157999982,10,10,10,10
task_e_mixed,stable_arrival_spread,10,0.7660377911000978,0.02743091148717401,0.7645301615011704,0.03436493124900153,0.7223200750013348,0.8065894070023205,0.8028124048985774,0.804700905950449,0.035808822757661604,10,10,10,10
task_e_mixed,tracking_rmse,10,1.2025386380304222,0.009058471033906692,1.2021073813028558,0.015563651136455192,1.1898138528939497,1.2137954228275907,1.2127258266311596,1.2132606247293751,0.007532790005602737,10,10,10,10
task_e_mixed,minimum_inter_agent_distance,10,1.8651405945928428,0.010864158439082141,1.8627043857698466,0.0149492434580909,1.8497332737969,1.8821729182375417,1.8785486953230142,1.880360806780278,0.005824846915336036,10,10,10,10
task_e_mixed,mean_rtf,10,0.997995316899774,0.002255471211333572,0.9976169332727916,0.0004405392048759671,0.9956109555457626,1.004128076999582,0.9984597481318248,1.0012939125657034,0.0022600017987459984,10,10,10,10
