experiment_id,batch_id,phase,family,scenario,method,trial,seed,minimum_inter_agent_distance,mean_min_distance,closest_pair,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,risk_integral,iapf_activation_time,iapf_activation_ratio,mean_repulsion_norm,max_repulsion_norm,position_saturation_ratio,acceleration_saturation_ratio,peak_acceleration_setpoint,integrated_squared_acceleration,activation_event_count,unnecessary_intervention_rate,intervention_latency,mean_trajectory_deviation,max_trajectory_deviation,actual_path_length,nominal_path_length,path_length_ratio,completion_time,recovery_time,stall_event_count,safe_completion_ratio,final_formation_error,mission_success,failure_reason,ablation_mode
staggered_crossing_delay-IAPF_OFF-t01-9f003d5d06,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,1,42,0.4708733062534186,5.170020239128601,1-2,1,17,1,0.849999189376831,0.0931276607236022,0.0,0.0,0.0,0.0,0.0,0.0,1.2807166271064807,3.6671971352663286,0,0.0,,0.5927573666995255,3.117010560809262,21.667323148247743,14.221106880449614,1.5236031435805306,,0.0,0,0.5,0.2976988722474171,False,collision,off
staggered_crossing_delay-IAPF_OFF-t02-00b07edf8f,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,2,43,0.1156720418566799,1.3845322802192437,1-2,3,314,2,15.649985074996948,4.294011548034028,0.0,0.0,0.0,0.0,0.0,0.0,1.2846489573035809,3.677381628248676,0,0.0,,5.115308656063744,14.873084717027972,78.25815918011553,14.069779592232988,5.562145353244679,,0.0,2,0.0,6.376797284156446,False,collision,off
staggered_crossing_delay-IAPF_OFF-t03-9fb3534216,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,3,44,0.7686092876352391,5.100773736223887,1-2,0,15,1,0.7499992847442627,0.0185682547626612,0.0,0.0,0.0,0.0,0.0,0.0,1.2767344777687364,3.647787043091217,0,0.0,,0.597295404359486,3.0869831256321016,19.856598024041027,14.027599457838,1.4155378533385512,21.947582006454468,0.0,0,1.0,0.2931304526834177,True,none,off
staggered_crossing_delay-IAPF_OFF-t04-f10382ce6a,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,4,45,0.8575093349701661,4.637849887119442,1-2,0,5,1,0.2499997615814209,0.0024572032039027,0.0,0.0,0.0,0.0,0.0,0.0,1.291992203993683,3.691438070385931,0,0.0,,0.7894639928725612,3.3156243941797503,16.847882043051207,13.794592316749942,1.2213396131028709,9.848942279815674,0.0,0,1.0,0.2622996286077402,True,none,off
staggered_crossing_delay-IAPF_OFF-t05-c1f6910f9c,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,5,46,0.7934843798195167,4.501243060811747,1-2,0,12,1,0.5999994277954102,0.0107651736262414,0.0,0.0,0.0,0.0,0.0,0.0,1.2836342653749593,3.633959919152676,0,0.0,,0.7535865321043262,3.091469830881748,16.349158905204533,13.445204339671651,1.2159844128931847,9.108183860778809,0.0,0,1.0,0.1153918129562519,True,none,off
staggered_crossing_delay-IAPF_OFF-t06-22be022e05,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,6,47,0.5893265746126255,4.552746852470341,1-2,1,16,1,0.7999992370605469,0.0628682182064796,0.0,0.0,0.0,0.0,0.0,0.0,1.2916283404778726,3.6811370082207473,0,0.0,,0.7817790131433052,3.05232496881164,17.666498005965796,13.670752218125555,1.2922842667386234,9.534693717956545,0.0,0,1.0,0.2771307495261131,False,collision,off
staggered_crossing_delay-IAPF_OFF-t07-41dd1a2a76,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,7,48,0.2390500921529474,4.573063607437629,1-2,1,31,1,1.5499985218048096,0.5429959764171857,0.0,0.0,0.0,0.0,0.0,0.0,1.2804601607480135,3.6630154599868976,0,0.0,,3.675787456391006,14.051332737624993,78.33646793992594,14.030366185905208,5.583351631878441,,0.0,1,0.0,4.7020583503261415,False,collision,off
staggered_crossing_delay-IAPF_OFF-t08-071fbde43e,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,8,49,0.8858155039441521,5.141625830966328,1-2,0,11,2,0.549999475479126,0.0015801301008459,0.0,0.0,0.0,0.0,0.0,0.0,1.283633246505806,3.6694311229151806,0,0.0,,0.6052032141908055,3.206913581332145,21.092515946800937,14.079334262698785,1.498118842357667,23.17423391342163,0.0,0,1.0,0.2928441396129927,True,none,off
staggered_crossing_delay-IAPF_OFF-t09-bc2ba96dd9,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,9,50,0.5688767791362621,4.823302029942347,1-2,1,15,1,0.7499992847442627,0.0689146764962685,0.0,0.0,0.0,0.0,0.0,0.0,1.2890354915316724,3.679558955834513,0,0.0,,0.7543832037182755,3.059727406330289,20.157851888912564,13.748058217262429,1.4662326541214257,14.19586181640625,0.0,0,1.0,0.2343676348234562,False,collision,off
staggered_crossing_delay-IAPF_OFF-t10-06f91cc2dd,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_OFF,10,51,0.3264357874702523,5.063438810720133,1-2,1,19,1,0.9499990940093994,0.213608491135061,0.0,0.0,0.0,0.0,0.0,0.0,1.2867466918008037,3.689744127878896,0,0.0,,1.778860956375993,10.461985799020272,75.68044809924785,14.29655990348843,5.293612492105983,,0.0,2,0.5,1.009028721323852,False,collision,off
staggered_crossing_delay-IAPF_ON-t01-d6ef507c77,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,1,42,0.7577882167721249,5.042576756682712,1-2,0,12,1,0.5999994277954102,0.0182568052174429,2.1995654106140137,0.0832238020907873,7.967719047281943,36.83433230431234,0.0240524781341107,0.0276967930029154,2.912352381731172,8.106999064889564,2,0.0,0.0,0.6025390390580928,3.273612697944744,19.175540983394463,14.175154809639544,1.352757076794287,23.41058373451233,17.73661184310913,0,1.0,0.2876688873246922,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t02-10cab05fbd,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,2,43,0.8016872276552929,4.315286255520655,1-2,0,10,1,0.4999995231628418,0.0092566430463503,2.0597622394561768,0.1651447784678253,6.095646624424906,28.829760553515605,0.0400593471810089,0.0459940652818991,2.85240542884231,7.3296515249519905,2,0.0,0.0,0.7661996668450382,3.207179783724272,16.029515326324844,13.786693212138676,1.1626802076230611,9.472784280776978,3.958884716033936,0,1.0,0.2578890009329325,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t03-c17d2e00f7,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,3,44,0.7614109378199418,4.294530177031104,1-2,0,11,1,0.549999475479126,0.0146818245358228,2.0795905590057373,0.171120025353222,7.263753550525781,34.29415484787368,0.0426179604261796,0.0517503805175038,2.859111144663685,7.474843649552582,2,0.0,0.0,0.7054136048117285,3.092523831397897,15.564597591439044,13.574750454893737,1.1465844357991837,9.15338969230652,3.598959445953369,0,1.0,0.0965518868982512,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t04-b3756431aa,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,4,45,0.8331382769458172,4.302869889225866,1-2,0,6,1,0.2999997138977051,0.0045260674608961,1.8596699237823489,0.1510529436624581,4.412924185318684,27.940287053911348,0.0256410256410256,0.0316742081447963,2.879055604488704,6.465004435096555,2,0.0,0.0,0.7981836410631179,3.475683782862639,16.290165997283548,13.71529513896765,1.1877371818999525,9.29262638092041,3.979304075241089,0,1.0,0.2582107877347481,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t05-cc85cf1e93,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,5,46,0.7667424777659857,4.287329643559803,1-2,0,11,1,0.549999475479126,0.0139347006013015,2.119714498519897,0.1721539194305761,7.215779382489207,34.40267358371781,0.0437405731523378,0.0527903469079939,2.900496952831584,7.758260246899917,2,0.0,0.0,0.7316485019341828,3.1459790010285387,15.60824145996426,13.454723867742937,1.1600566175411655,9.313232421875,3.719158887863159,0,1.0,0.050747852260125,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t06-e34f9404c7,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,6,47,0.7534712397450838,4.950924562037354,1-2,0,12,1,0.5999994277954102,0.0168533983348176,2.179771423339844,0.0917663600840246,7.719824949048984,36.79038747114632,0.0250403877221324,0.0306946688206785,2.891601696963744,7.963800700822032,2,0.0,0.0,0.6111196961176119,3.133527106542473,18.779327562463354,14.145019806979096,1.3276282266637556,20.754169464111328,15.119680404663086,0,1.0,0.2840573684025941,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t07-669f008546,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,7,48,0.7964875707707386,4.510239454856965,1-2,0,10,1,0.4999995231628418,0.0077507886024276,2.1398537158966064,0.1488897308369975,5.8020329896021074,29.597935594253283,0.0351333767078724,0.044242029928432,2.907243324761408,7.6824726837693085,2,0.0,0.0,0.7276262162413747,3.211361603724395,16.39129247987524,13.754450512413175,1.1917082739933782,11.373038291931152,5.779183387756348,0,1.0,0.2473207937432617,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t08-7df12d19b7,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,8,49,0.8074242512955209,4.299130611926578,1-2,0,9,1,0.4499995708465576,0.0088943089601621,2.0198068618774414,0.165626758884642,5.920155096405256,28.1090684679926,0.0363636363636363,0.0439393939393939,2.867568237901247,7.211964743781985,2,0.0,0.0,0.7276138019970055,3.177779184489653,15.546497866558,13.474741493917833,1.1537511033941028,9.195148229599,3.699995517730713,0,1.0,0.1241897821998337,True,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t09-9fa4c2d786,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,9,50,0.8234186845580274,4.404334058134795,1-2,0,11,1,0.549999475479126,0.006110189098626,2.0796453952789307,0.1588157168962433,5.7259096428533045,25.25705208433253,0.042583392476934,0.0482611781405252,2.866118496161644,7.497806689604241,2,0.0,0.0,0.7509954963543166,3.126303700310547,15.80395614912995,13.67006757086526,1.1560993438549347,10.095299243927002,4.519794940948486,0,0.5,0.2994298160781233,False,none,iapf_dual
staggered_crossing_delay-IAPF_ON-t10-2a683023a4,exp08-v2-formal-20260730,fallback,fallback,staggered_crossing_delay,IAPF_ON,10,51,0.8201889667533355,4.136088431838915,1-2,0,7,1,0.3499996662139892,0.0055612180494382,1.8999392986297607,0.16443665313351,4.9567257815075605,26.7066631937314,0.0305466237942122,0.0385852090032154,2.8827563717045765,6.7843610067310784,2,0.0,0.0,0.7783696728659872,3.4172896913743767,15.59486584165041,13.4804032252232,1.1568545525753144,8.554904460906982,3.199877977371216,0,1.0,0.1707740502351278,True,none,iapf_dual
