family,endpoint,contrast,complete_blocks_N,scenario_stratum_counts,mean_block_contrast,median_block_contrast,sd_block_contrast,d_z,ci_low,ci_high,bootstrap_resamples,bootstrap_seed_uint64,availability_note
B,controller_near_limit_fraction,Delta_F,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,15022238019020979398,
B,controller_near_limit_fraction,Delta_PF,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,13276320967474984930,
B,feedback_intervention_burden,Delta_P,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
B,feedback_intervention_burden,Delta_F,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
B,feedback_intervention_burden,Delta_PF,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
C,j_hard_pair_s,Delta_P,25,E3-C-01:12;E3-C-02:13,-1.7116460466384888,-1.828283429145813,0.56623273468849167,-3.022866644366891,-1.9161922924518584,-1.5083647232055664,10000,10512420888367984365,
C,j_hard_pair_s,Delta_F,25,E3-C-01:12;E3-C-02:13,-1.2003824472427369,-0.76986932754516602,0.84040345579148168,-1.4283406844302318,-1.38338884973526,-1.0129235274791719,10000,810378940078461118,
C,j_hard_pair_s,Delta_PF,25,E3-C-01:12;E3-C-02:13,0.32387629508972166,0.25805330276489258,1.0786891842397266,0.30024987718588619,-0.082473833799362184,0.73110543847083997,10000,8327904193024924806,
C,realized_min_separation_m,Delta_P,25,E3-C-01:12;E3-C-02:13,0.86659148035911215,0.86981167791657499,0.073834497823386677,11.73694554586141,0.84413618231677845,0.89357442948977839,10000,6208394921189510506,
C,realized_min_separation_m,Delta_F,25,E3-C-01:12;E3-C-02:13,0.070587360531773197,0.072831786662387876,0.048047316591024833,1.4691218061688551,0.053106283020682279,0.08772194388509566,10000,4043005124955679097,
C,realized_min_separation_m,Delta_PF,25,E3-C-01:12;E3-C-02:13,-0.055868254297449543,-0.030797677959645609,0.14341961523240129,-0.38954402580789949,-0.089519999612651044,-0.020870481396825631,10000,17148700635874510095,
C,hard_risk_event_count,Delta_P,25,E3-C-01:12;E3-C-02:13,-2.46,-2,1.2493331554606775,-1.9690504404270794,-2.8999999999999999,-2.04,10000,16043300229369467299,
C,hard_risk_event_count,Delta_F,25,E3-C-01:12;E3-C-02:13,-1.7,-0.5,2.0155644370746373,-0.8434361952066175,-2.0800000000000001,-1.3200000000000001,10000,14245802007784711187,
