global_position,trial_id,scenario_id,scenario_family,condition,planning,feedback,seed,attempt_status,scientific_complete,analysis_status,canonical_result_sha256,actual_d_min,predicted_d_min,hard_risk_event_count,hard_risk_exposure_duration,any_pair_hard_risk_duration,mission_success,iapf_activation_time,integral_delta_p,integral_delta_a,trajectory_deviation_integral,trajectory_deviation_rms
220,E3-A-02__P0_F0__S53107,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53107,success,1,COMPLETE,110d73d433683daae0ba8bf22923e1b67847e898985308512f02cda6f963518d,0.068732639524937,0.0,2.0,1.498150110244751,1.498150110244751,1.0,0.0,0.0,0.0,0.0,0.0
111,E3-A-02__P0_F0__S53108,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53108,success,1,COMPLETE,44b286043e30a166fa29317c731e2665324e91d7cc836645450e3ad61519cf5e,0.07980279010684231,0.0,2.0,7.8822550773620605,7.172947645187378,1.0,0.0,0.0,0.0,0.0,0.0
6,E3-A-02__P0_F0__S53109,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53109,infrastructure_failure,0,INCOMPLETE_EVIDENCE,8573a8f1afde655cc15f2619d21ae576527acb83a9c06daa3284af92edde80e1,,0.0,,,,0.0,,,,,
410,E3-A-02__P0_F0__S53110,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53110,infrastructure_failure,0,INCOMPLETE_EVIDENCE,25730539f2b19986c7822c9b6721b63abb6f9bcef86a836bf73792d812a28823,,0.0,,,,0.0,,,,,
497,E3-A-02__P0_F0__S53111,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53111,success,1,COMPLETE,8a28835dde11ad84e5601011b6f2c591974487890f236df4b9370e60cd2db134,0.02432779267649627,0.0,2.0,1.9883813858032227,1.315364122390747,1.0,0.0,0.0,0.0,0.0,0.0
442,E3-A-02__P0_F0__S53112,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53112,success,1,COMPLETE,7ecb087c62afd6805ba900ca86d9a81f50a3edd9285a733898c2cdd8370bcaad,0.0984958069225665,0.0,2.0,1.9489383697509766,1.2629826068878174,1.0,0.0,0.0,0.0,0.0,0.0
570,E3-A-02__P0_F0__S53113,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53113,success,1,COMPLETE,d144c7b38b6914a17a3568ea5dea51fb3ce19cb672c418dd9dcf70ef904f43c1,0.16250623800012937,0.0,2.0,2.4480032920837402,1.7658891677856445,1.0,0.0,0.0,0.0,0.0,0.0
522,E3-A-02__P0_F0__S53114,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53114,success,1,COMPLETE,6f4ca23f9e694075f512b97c39f5122e1ad454e7c34557e3de0443a610f47bc9,0.07838252645992527,0.0,2.0,1.4212191104888916,0.724632978439331,1.0,0.0,0.0,0.0,0.0,0.0
452,E3-A-02__P0_F0__S53115,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53115,success,1,COMPLETE,dee4ac84460264e7deef6c48c073299f2d33a91196b5484d8572fa490971a063,0.014583813584880739,0.0,2.0,1.4241478443145752,0.7186920642852783,1.0,0.0,0.0,0.0,0.0,0.0
261,E3-A-02__P0_F1__S53101,E3-A-02,A_predictable_structural_risk,P0_F1,P0,F1,53101,success,1,COMPLETE,7e543f8f93120b2fce795721545ebde3d9f709c70d915b4588d65414c181ac56,0.09392085144066013,0.0,2.0,1.8072352409362793,1.0154128074645996,1.0,7.859880208969116,1.2852198071262513,5.573063950085578,1.2852199417879615,0.07207574608088566
117,E3-A-02__P0_F1__S53102,E3-A-02,A_predictable_structural_risk,P0_F1,P0,F1,53102,success,1,COMPLETE,bd9322a34158735cfc2b597456d524241bc4633b59a612d61e705955b2454ce6,0.01015844228458384,0.0,2.0,2.227562427520752,1.4402673244476318,1.0,9.999837398529053,1.749615596037255,7.376221116232122,1.7496146452988972,0.08889848730157508
32,E3-A-02__P0_F1__S53103,E3-A-02,A_predictable_structural_risk,P0_F1,P0,F1,53103,success,1,COMPLETE,c649edcea146c227b41b55a53a038f912d5c359186966b94125b402f7a3838e0,0.10525208579315402,0.0,2.0,2.289032459259033,1.4550468921661377,1.0,8.77965235710144,1.8027497504047911,7.605186599284769,1.8027479934304231,0.09001713943078174
114,E3-A-02__P0_F1__S53104,E3-A-02,A_predictable_structural_risk,P0_F1,P0,F1,53104,success,1,COMPLETE,feb3a8e8559ec0a70fae8522860ae3621b53b0dd15563d7e2e1db08a1ea5b231,0.14466049674966863,0.0,2.0,1.7963283061981201,1.0706582069396973,1.0,7.839897871017456,1.3183874166775815,5.64511311367976,1.3183891708110043,0.07396413972200981
529,E3-A-02__P0_F1__S53105,E3-A-02,A_predictable_structural_risk,P0_F1,P0,F1,53105,success,1,COMPLETE,3f80fa6ba9671da2a56a7aee437da23b6ec5a318c3663b80335b20f529bfbd9d,0.11476973246708298,0.0,2.0,2.1535484790802,1.3314814567565918,1.0,8.499720811843872,1.6408852959790825,6.982833810591569,1.6408856883445622,0.0846472588142763
