formation,uav_count,label,nominal_spacing,multiplier,delta_min,requested_radius,requested_nearest_neighbor_spacing,executed_radius,executed_nearest_neighbor_spacing,safety_floor_applied,workspace_limit,workspace_margin,geometry_valid,failure_reason
Line,5,normal,2.25,1.0,1.0,2.25,2.25,2.25,2.25,False,7.5,4.5,True,
Line,5,spacious,2.25,1.25,1.0,2.8125,2.8125,2.8125,2.8125,False,7.5,4.5,True,
Line,6,compact,2.25,0.8,1.0,1.8,1.8,2.0,2.0,True,6.0,4.5,True,
Line,6,normal,2.25,1.0,1.0,2.25,2.25,2.25,2.25,False,6.0,4.5,True,
Line,6,spacious,2.25,1.25,1.0,2.8125,2.8125,2.8125,2.8125,False,6.0,4.5,True,
Line,7,compact,2.25,0.8,1.0,1.8,1.8,2.0,2.0,True,5.0,4.5,True,
Line,7,normal,2.25,1.0,1.0,2.25,2.25,2.25,2.25,False,5.0,4.5,True,
Line,7,spacious,2.25,1.25,1.0,2.8125,2.8125,2.8125,2.8125,False,5.0,4.5,True,
Line,8,compact,2.25,0.8,1.0,1.8,1.8,2.0,2.0,True,4.285714285714286,4.5,True,
Line,8,normal,2.25,1.0,1.0,2.25,2.25,2.25,2.25,False,4.285714285714286,4.5,True,
Line,8,spacious,2.25,1.25,1.0,2.8125,2.8125,2.8125,2.8125,False,4.285714285714286,4.5,True,
Triangle,3,compact,2.25,0.8,1.7320508075688772,1.0392304845413265,1.8,1.1547005383792517,2.0,True,15.0,4.5,True,
Triangle,3,normal,2.25,1.0,1.7320508075688772,1.299038105676658,2.25,1.299038105676658,2.25,False,15.0,4.5,True,
Triangle,3,spacious,2.25,1.25,1.7320508075688772,1.6237976320958225,2.8125,1.6237976320958225,2.8125,False,15.0,4.5,True,
Circle,4,compact,2.25,0.8,1.414213562373095,1.2727922061357857,1.8,1.4142135623730951,2.0,True,15.0,4.5,True,
Circle,4,normal,2.25,1.0,1.414213562373095,1.5909902576697321,2.25,1.5909902576697321,2.25,False,15.0,4.5,True,
Circle,4,spacious,2.25,1.25,1.414213562373095,1.988737822087165,2.8125,1.9887378220871652,2.8125,False,15.0,4.5,True,
Circle,5,compact,2.25,0.8,1.1755705045849463,1.531171455033672,1.8,1.7013016167040798,2.0,True,15.0,4.5,True,
Circle,5,normal,2.25,1.0,1.1755705045849463,1.9139643187920898,2.25,1.9139643187920898,2.25,False,15.0,4.5,True,
Circle,5,spacious,2.25,1.25,1.1755705045849463,2.3924553984901125,2.8125,2.3924553984901125,2.8125,False,15.0,4.5,True,
Circle,6,compact,2.25,0.8,0.9999999999999997,1.8000000000000007,1.8,2.000000000000001,2.0,True,15.0,4.5,True,
Circle,6,normal,2.25,1.0,0.9999999999999997,2.250000000000001,2.25,2.250000000000001,2.25,False,15.0,4.5,True,
Circle,6,spacious,2.25,1.25,0.9999999999999997,2.812500000000001,2.8125,2.812500000000001,2.8125,False,15.0,4.5,True,
Circle,7,compact,2.25,0.8,0.8677674782351162,2.074288383866238,1.8,2.3047648709624866,2.0,True,15.0,4.5,True,
Circle,7,normal,2.25,1.0,0.8677674782351162,2.5928604798327974,2.25,2.5928604798327974,2.25,False,15.0,4.5,True,
Circle,7,spacious,2.25,1.25,0.8677674782351162,3.241075599790997,2.8125,3.241075599790997,2.8125,False,15.0,4.5,True,
Circle,8,compact,2.25,0.8,0.7653668647301795,2.3518133367774783,1.8,2.613125929752753,1.9999999999999998,True,15.0,4.5,True,
Circle,8,normal,2.25,1.0,0.7653668647301795,2.9397666709718475,2.25,2.9397666709718475,2.25,False,15.0,4.5,True,
Circle,8,spacious,2.25,1.25,0.7653668647301795,3.6747083387148094,2.8125,3.6747083387148094,2.8125,False,15.0,4.5,True,
Polygon,4,compact,2.25,0.8,1.414213562373095,1.2727922061357857,1.8,1.4142135623730951,2.0,True,15.0,4.5,True,
