experiment_id,batch_id,phase,family,scenario,method,variant,assignment_mode,avoidance_mode,trial,seed,minimum_inter_agent_distance,actual_min_distance,mean_min_distance,closest_pair,collision_event_count,collision_count,violation_sample_count,violation_event_count,violation_count,risk_exposure_time,violation_duration,near_miss_duration,risk_integral,nominal_xy_crossings,nominal_proximity_crossings,predicted_min_distance,total_path_length,local_swap_iterations,assignment_compute_time_ms,paired_input_digest,run_git_commit,analysis_git_commit,iapf_activation_time,iapf_active_duration,iapf_activation_ratio,iapf_active_ratio,mean_repulsion_norm,max_repulsion_norm,mean_position_offset,max_position_offset,mean_acceleration_offset,max_acceleration_offset,position_saturation_ratio,acceleration_saturation_ratio,saturation_count,stale_neighbor_ratio,peak_acceleration_setpoint,integrated_squared_acceleration,activation_event_count,iapf_activation_count,unnecessary_intervention_rate,intervention_latency,mean_trajectory_deviation,tracking_rmse,trajectory_deviation,max_trajectory_deviation,actual_path_length,nominal_path_length,path_length_ratio,completion_time,mission_duration,arrival_time_variance,recovery_time,stall_event_count,safe_completion_ratio,final_formation_error,mission_success,safety_success,failure_reason
s2_dense_local_bias-E-t05-c736df326a,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,5,4205,1.0894714553778375,1.0894714553778375,3.088155187154149,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.708125890890496,0,2.298234998306725,1a2836ebcec7f242a65c729362639f0a13ce261f03bba1941122517783018ab7,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.419693946838379,4.419693946838379,0.0545167482059006,0.0545167482059006,2.138714803765015,7.410048903869214,0.0056941459618532,0.3239355940634456,0.0338723357873761,1.8475331723153607,0.0,0.0022189349112426,2,0.0,1.898033557569189,0.7797360403462661,2,2,0.0,0.0,0.3787146493913063,0.4654378906075844,0.3787146493913063,1.4909827440136405,22.426701635758,15.78025286444674,1.4211877229347736,10.517071723937988,10.517071723937988,1.232166204443497,,0,1.0,0.1434810348806058,True,True,none
s2_dense_local_bias-E-t06-966dea6bff,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,6,4206,1.1036750804237454,1.1036750804237454,2.92991336213671,2-3,0,0,0,0,0,0.0,0.0,1.399998664855957,0.0,0,0,2.399999999999999,15.572012840923843,0,2.309914001671132,4b87bc1c8ad854cbd04084ed30138cdeb22ccf24b5728b528aa7cb39bf9ab056,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.4800238609313965,4.4800238609313965,0.0454955064300979,0.0454955064300979,1.9981003092287,6.895643827185197,0.0044417122408298,0.3000499320238703,0.0266074512230896,1.7801981535947815,0.0,0.0012180267965895,2,0.0,1.8360977321418188,0.7164983375206313,2,2,0.0,0.0,0.3824962011310931,0.44368067265125,0.3824962011310931,1.4814236353865728,23.453701689886973,15.524531263342114,1.51075103602438,13.416798114776611,13.416798114776611,3.657377141732424,,0,0.3333333333333333,0.303781153085342,True,True,none
s2_dense_local_bias-E-t07-7b6a8445ff,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,7,4207,1.0757399659893887,1.0757399659893887,2.921466112797112,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.616080729082894,0,2.091432994347997,2fc0a729e61bd3def5017a57b5cc8c238ba3756dada6b5564ad20802fceccbc3,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.400148630142212,4.400148630142212,0.0428897388646237,0.0428897388646237,2.284918584979618,7.7270922882444415,0.0048051927761112,0.3421186957392003,0.0282704601728659,1.9659063625530968,0.0,0.0046783625730994,4,0.0,2.025751477097232,1.2450651940338382,2,2,0.0,0.0,0.3948505025121703,0.4515166165726954,0.3948505025121703,1.4488842749640682,26.92704527902283,15.6551800850954,1.7200086573682325,14.09927487373352,14.09927487373352,4.481631624622318,,0,0.1666666666666666,0.3043851250844437,True,True,none
s2_dense_local_bias-E-t08-a87ba31045,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,8,4208,1.0597124809503118,1.0597124809503118,3.080228459622745,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.561372161820492,0,2.171258005546406,d7f21a438f6e29266e6ff4607af625be8a15855955231ea200676e66641fae3f,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.4004316329956055,4.4004316329956055,0.0547317528940628,0.0547317528940628,2.3815880549182205,7.747433894829147,0.0063868133045157,0.362165181738548,0.0366154483864458,1.9309160507006808,0.0,0.008455608057697,2,0.0,2.0090736107248683,1.1271252699286394,2,2,0.0,0.0,0.3460095972316676,0.4407780821001377,0.3460095972316676,1.472108163198781,21.914461517432475,15.565303307620615,1.4079045608255751,10.405454397201538,10.405454397201538,1.0803709188103834,,0,1.0,0.0993681663214643,True,True,none
s2_dense_local_bias-E-t09-9da9bceb28,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,9,4209,1.0934518590340698,1.0934518590340698,3.0931186124592145,2-3,0,0,0,0,0,0.0,0.0,1.3499987125396729,0.0,0,0,2.399999999999999,15.481637686743689,0,2.241387999674771,5520924ede5b63f9018cccadb7d0752c6fcefd427fab86cee449c46feedb297f,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.399627923965454,4.399627923965454,0.0553820768125218,0.0553820768125218,2.0730780448956843,7.157630539050452,0.0056294400639902,0.3191765385187105,0.0335652623688337,1.8493011374325108,0.0,0.0020135917442738,2,0.0,1.9323364061643655,1.1308674420245508,2,2,0.0,0.0,0.3455735965591435,0.435798708951613,0.3455735965591435,1.4278971953814483,21.44260241017219,15.520468893351865,1.3815692397899813,10.2406268119812,10.2406268119812,1.0363496922083897,,0,1.0,0.1453842371694483,True,True,none
s2_dense_local_bias-E-t10-cb17441d19,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,10,4210,1.0919541330086986,1.0919541330086986,3.0810221890915366,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.670232654798538,0,2.9078480001771823,ebb2f76cca03a345135900bcfc72828e5e2658d8cc58b024758d501645fbe59b,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.359907150268555,4.359907150268555,0.0534889699783065,0.0534889699783065,2.137645931808186,7.305128335676947,0.0055886673972956,0.3286556709405671,0.0332452646094497,1.8743616103915757,0.0,0.0024521824423737,2,0.0,1.9430560983007563,0.9477255226436264,2,2,0.0,0.0,0.4253225649859268,0.4896446519185508,0.4253225649859268,1.4196433258411714,23.47056425421492,15.631252515701952,1.5015152644126375,10.58527398109436,10.58527398109436,0.98240713151342,,0,0.8333333333333334,0.2804654735437516,True,True,none
s2_dense_local_bias-E-t11-1a3252d2a3,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,11,4211,1.0924421819783423,1.0924421819783423,3.065158438772529,2-3,0,0,0,0,0,0.0,0.0,1.3499987125396729,0.0,0,0,2.399999999999999,15.52356700119709,0,2.22838999616215,68bfa3617a09b9c3176c33784519ca213f760b68b13e11e697dc90a9e0baca89,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.399874925613403,4.399874925613403,0.0547104374523655,0.0547104374523655,2.0862001177050717,7.17483241958,0.0055923210846002,0.3201353208708235,0.0333563567805836,1.847601410368358,0.0,0.0022371364653243,2,0.0,1.904043146865154,0.9447225677072648,2,2,0.0,0.0,0.362075846694042,0.4457329099902977,0.362075846694042,1.4519188024949063,21.74606410619399,15.591153804970432,1.3947693915546766,10.403731346130373,10.403731346130373,1.157180048302269,,0,1.0,0.1508329400274021,True,True,none
s2_dense_local_bias-E-t12-19aedcc63b,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,12,4212,1.077853717155997,1.077853717155997,3.0940282430489865,2-3,0,0,0,0,0,0.0,0.0,1.3499987125396729,0.0,0,0,2.399999999999999,15.602434605595656,0,2.524289993743878,43512f43d76e62298bc554faf8038112cdf987f7f20730dbb1fc7a9d922ee899,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.399806022644043,4.399806022644043,0.0549505831005587,0.0549505831005587,2.2237023465991785,7.572303586818978,0.0059815448084459,0.3327032740737138,0.0353336513154046,1.951813503433695,0.0,0.0059910134797803,4,0.0,2.0074615261649007,1.0263350634810966,2,2,0.0,0.0,0.3490730552475948,0.4417399854925646,0.3490730552475948,1.4796928544083323,21.366265170914176,15.60391086506954,1.3692891067933537,10.344990491867064,10.344990491867064,1.0888835241684975,,2,1.0,0.1480204380680455,True,True,none
s2_dense_local_bias-E-t13-dae591f0f6,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,13,4213,1.0826861279500233,1.0826861279500233,3.085675863134105,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.578780068810582,0,2.130086002580356,0bbdcad2db29f407ea9950e4e89d8970d5f509080d69796450bbfc34c2fbe3af,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.399691104888916,4.399691104888916,0.0555359527755517,0.0555359527755517,2.200935990741697,7.602001613624023,0.0059714019398151,0.32753659239033,0.0353583744482514,1.885421049470675,0.0,0.0030280090840272,3,0.0,1.9382820580368236,1.0043015159240227,2,2,0.0,0.0,0.3070988100915426,0.4141580580411372,0.3070988100915426,1.4389769785569784,20.73265415638581,15.57551996934936,1.3311051057804189,10.204164028167725,10.204164028167725,0.9765916463894024,,0,1.0,0.0817811894463067,True,True,none
s2_dense_local_bias-E-t14-f791d15e0d,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,14,4214,1.0797071465886965,1.0797071465886965,3.0729256406797525,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.524128732744057,0,2.3548229946754877,4dfeb109200025b15f9b63611f79a889188f28b095859e57d49a4157dbe7da35,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.399999618530273,4.399999618530273,0.0546296263076684,0.0546296263076684,2.187351767620499,7.716507795410452,0.0058435229109904,0.3344178499912591,0.0344030124257512,1.924121723048645,0.0,0.0052122114668652,2,0.0,1.9822129953602017,0.9854963247945234,2,2,0.0,0.0,0.3663175374768586,0.4576961082715191,0.3663175374768586,1.5042976330993711,22.353167743732296,15.595330643147454,1.4333243876143285,10.423805475234984,10.423805475234984,1.1730956435352229,,0,1.0,0.1303238558791663,True,True,none
s2_dense_local_bias-E-t15-568906232d,exp09-formal-20260730,formal,s2,s2_dense_local_bias,E,E,distance_hungarian,iapf_dual,15,4215,1.0730866110969697,1.0730866110969697,2.8445274426296807,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.610253939125531,0,2.467682999849785,bd090d8689b8543540d6561d2f0a99f68a80e91f5bbdfead265f9b78f5edbd6b,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.379648923873901,4.379648923873901,0.0383785190059064,0.0383785190059064,2.261464261678176,7.663101265319018,0.0042477857821108,0.3462595013965952,0.0247823765153057,1.9522116555351752,0.0,0.0050814788855791,2,0.0,2.0040651390019666,1.0258858895470788,2,2,0.0,0.0,0.3817499975197608,0.436177281987768,0.3817499975197608,1.4774761248522228,26.055108579008337,15.626367034610064,1.6673810695282,16.019790172576904,16.019790172576904,12.036029506854154,,0,0.8333333333333334,0.294174035058193,True,True,none
s2_dense_local_bias-Full-t01-169ceba4dc,exp09-formal-20260730,formal,s2,s2_dense_local_bias,Full,Full,safety_aware,iapf_dual,1,4201,1.090062219092605,1.090062219092605,3.026045947308133,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.566581112281764,0,17.61340899975039,5a8a505847fb13857df54220b3c206c0ede649e3860d2506c465791ac32dadf3,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.359673976898193,4.359673976898193,0.0505138455184456,0.0505138455184456,2.1033600885822152,7.327621195690946,0.0048691616360724,0.3233380794484969,0.0289552614265176,1.8804596139926155,0.0,0.0021663778162911,2,0.0,1.954123557205868,0.9336660836024332,2,2,0.0,0.0,0.3973110006673658,0.4676154180305522,0.3973110006673658,1.5313527046862665,23.463112071043412,17.012879541756128,1.3791382001768686,11.385210990905762,11.385210990905762,1.5240615060004077,,0,0.8333333333333334,0.2741175109021146,True,True,none
s2_dense_local_bias-Full-t02-c25ff243c1,exp09-formal-20260730,formal,s2,s2_dense_local_bias,Full,Full,safety_aware,iapf_dual,2,4202,1.086148467397872,1.086148467397872,3.091412358093677,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.6406252038047,0,16.816203002235852,ad2d0d081f12b5b7c719aba7da659ce85f0f4b50c2134621dab3b8cefc38e507,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.399854898452759,4.399854898452759,0.0554520233194347,0.0554520233194347,2.1773844249718244,7.435156924569338,0.0059058634075792,0.3187417992395848,0.0350904628371375,1.846598361463976,0.0,0.0025188916876574,2,0.0,1.904788247711384,0.9932254194150578,2,2,0.0,0.0,0.3005576740934432,0.4164045048522571,0.3005576740934432,1.4313029252551506,20.60521015590588,15.65649702228097,1.3160804825359294,10.224899530410768,10.224899530410768,0.9913849093160962,,1,1.0,0.0574307738711258,True,True,none
s2_dense_local_bias-Full-t03-5734efe035,exp09-formal-20260730,formal,s2,s2_dense_local_bias,Full,Full,safety_aware,iapf_dual,3,4203,1.079592202056968,1.079592202056968,3.0796349756352703,2-3,0,0,0,0,0,0.0,0.0,1.2499988079071045,0.0,0,0,2.399999999999999,15.634940965651284,0,17.037892001098953,4fb848883160c742b9289342235235dd59acb389d96269278e1f2a56c300c703,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.320061206817627,4.320061206817627,0.0533992519162553,0.0533992519162553,2.231557524130212,7.660676844907972,0.0058228742854659,0.3296020030478567,0.0343271603064585,1.9018249698344591,0.0,0.0049419322955275,2,0.0,1.9605122231448924,1.0045647503989692,2,2,0.0,0.0,0.31330866410196,0.4269790357579316,0.31330866410196,1.5155641391179389,20.7927193691126,15.602652349052168,1.3326400475990683,10.483772277832031,10.483772277832031,1.161529302401721,,1,1.0,0.1052628273389344,True,True,none
s2_dense_local_bias-Full-t04-8252a81f11,exp09-formal-20260730,formal,s2,s2_dense_local_bias,Full,Full,safety_aware,iapf_dual,4,4204,1.069862822027124,1.069862822027124,3.07779349488992,2-3,0,0,0,0,0,0.0,0.0,1.3499987125396729,0.0,0,0,2.399999999999999,15.60006256866604,0,19.14989900251385,6a73c494acbff3bf66bdb13b94c49e8c02d58aa77bbda473f237c2f2de5fea55,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.3998425006866455,4.3998425006866455,0.0547915416217101,0.0547915416217101,2.2436471063981283,7.908950614721045,0.0060090285693229,0.3513157647508776,0.0349462349446139,1.9524532446090044,0.0,0.0067214339058999,2,0.0,2.0089486943271178,1.0186464650397706,2,2,0.0,0.0,0.3359160077171348,0.4308483003798748,0.3359160077171348,1.4600539796781915,21.179088132702347,15.553786272454587,1.361667684106605,10.383888959884644,10.383888959884644,1.0795314014483857,,4,1.0,0.154113399624846,True,True,none
s2_dense_local_bias-Full-t05-ff5c3cfae6,exp09-formal-20260730,formal,s2,s2_dense_local_bias,Full,Full,safety_aware,iapf_dual,5,4205,1.0766989718837208,1.0766989718837208,3.0859011264694587,2-3,0,0,0,0,0,0.0,0.0,1.299998760223389,0.0,0,0,2.399999999999999,15.708125890890496,0,16.5768590013613,1a2836ebcec7f242a65c729362639f0a13ce261f03bba1941122517783018ab7,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,4.399739503860474,4.399739503860474,0.0543809680549,0.0543809680549,2.2582260863822263,7.70840431844868,0.0059784449791624,0.3416386653132295,0.0351894866979557,1.934801299098738,0.0,0.0061758893280632,2,0.0,2.016393237961055,1.0246159197905702,2,2,0.0,0.0,0.3831194800824034,0.4658276141556858,0.3831194800824034,1.4809720142696925,22.31056259571745,15.786227557907678,1.4132928537788365,10.484570264816284,10.484570264816284,1.0994709394271052,,0,1.0,0.158094239134156,True,True,none
