global_position,trial_id,scenario_id,family_id,state_condition,commitment_condition,seed,attempt_status,executable_grounding_success,state_consistency_violation,dynamic_infeasibility,correction,rejection,correction_or_rejection,trace_sha256
137,E2-PES-01__SHIFT__EARLY__S52101,E2-PES-01,E2-PES,SHIFT,Early_Commitment,52101,success,1,1,0,0,0,0,f019fa734afa3c21be9178667b894bf2c667973d066f45e244f01fb65c2d7b9e
103,E2-PES-01__SHIFT__EARLY__S52102,E2-PES-01,E2-PES,SHIFT,Early_Commitment,52102,success,1,1,0,0,0,0,c1f891791034a5dbd5aeb6bd678e15ed7566f86c6316dfb9f0d9fcba348e1f2a
41,E2-PES-01__SHIFT__EARLY__S52103,E2-PES-01,E2-PES,SHIFT,Early_Commitment,52103,success,1,1,0,0,0,0,8e603fc3a16382a0ce088391790ce861b561619cc0d8e50e24dafe2ba4a4133d
595,E2-PES-01__SHIFT__EARLY__S52104,E2-PES-01,E2-PES,SHIFT,Early_Commitment,52104,success,1,1,0,0,0,0,59960e11a7d3b64587ef4a3108617aece0c004ac6f117c376994780122b7412b
195,E2-PES-01__SHIFT__EARLY__S52105,E2-PES-01,E2-PES,SHIFT,Early_Commitment,52105,success,1,1,0,0,0,0,aafa373f8b7c95d0db3c84fcfd420546a6b4b9d60cefe1a51a7aa8d5f7f6dd1b
154,E2-PES-01__SHIFT__LATE__S52101,E2-PES-01,E2-PES,SHIFT,Information_Aligned_Late_Commitment,52101,success,1,0,0,0,0,0,02664e18a83ef556027f23e74a7a0cb8e7d425b93176212b58b5478ad57ef181
533,E2-PES-01__SHIFT__LATE__S52102,E2-PES-01,E2-PES,SHIFT,Information_Aligned_Late_Commitment,52102,success,1,0,0,0,0,0,7b4444f027b03bacd32451da72291eb5a5ddf6c66d9355b16e8eaf3658e28f1e
499,E2-PES-01__SHIFT__LATE__S52103,E2-PES-01,E2-PES,SHIFT,Information_Aligned_Late_Commitment,52103,success,1,0,0,0,0,0,be6c2bccc18c330e5957b84d3e8156c541931e2b70f0539e13b13775e1991772
439,E2-PES-01__SHIFT__LATE__S52104,E2-PES-01,E2-PES,SHIFT,Information_Aligned_Late_Commitment,52104,success,1,0,0,0,0,0,ca9324105f21074fb2d83f63b836d665aeeffc189efb447ff538b64a8031bf95
535,E2-PES-01__SHIFT__LATE__S52105,E2-PES-01,E2-PES,SHIFT,Information_Aligned_Late_Commitment,52105,success,1,0,0,0,0,0,ff845992e16ba232ee8027c0dbb4ada246be57b0dd5b3d46d23366b94882a61e
167,E2-QS-01__NO_SHIFT__EARLY__S52101,E2-QS-01,E2-QS,NO_SHIFT,Early_Commitment,52101,success,1,0,0,0,0,0,1c16197fa50a14ba5e663b30503e57b98cae9208d0ec1b23f247c7008aaaa28a
138,E2-QS-01__NO_SHIFT__EARLY__S52102,E2-QS-01,E2-QS,NO_SHIFT,Early_Commitment,52102,success,1,0,0,0,0,0,4fb6dae3740e57ec47db19b87a5439bdb8c688e339e0e5685ea690f704ef8a08
178,E2-QS-01__NO_SHIFT__EARLY__S52103,E2-QS-01,E2-QS,NO_SHIFT,Early_Commitment,52103,success,1,0,0,0,0,0,ea894264f31ac5bae40fb3102e23de7786ad011f3f847c1349a7c8426154f01f
78,E2-QS-01__NO_SHIFT__EARLY__S52104,E2-QS-01,E2-QS,NO_SHIFT,Early_Commitment,52104,success,1,0,0,0,0,0,43c438c36059d88479e804a281159d5b907b823de7af97cdb3bd24b49f95c2f4
208,E2-QS-01__NO_SHIFT__EARLY__S52105,E2-QS-01,E2-QS,NO_SHIFT,Early_Commitment,52105,success,1,0,0,0,0,0,bad5b8f98460afda27685f1e8b7a4c52fdcb8bed40acbd368c139ca9520f66af
16,E2-QS-01__NO_SHIFT__LATE__S52101,E2-QS-01,E2-QS,NO_SHIFT,Information_Aligned_Late_Commitment,52101,success,1,0,0,0,0,0,3b7acf8b53763a76f7fc28db7f50f45be6fd7479c49bc208499d058232695514
150,E2-QS-01__NO_SHIFT__LATE__S52102,E2-QS-01,E2-QS,NO_SHIFT,Information_Aligned_Late_Commitment,52102,success,1,0,0,0,0,0,aa800e59524cae04ed6c698509cf84a58749aab4796fa1e10a21f0dbced56fb4
115,E2-QS-01__NO_SHIFT__LATE__S52103,E2-QS-01,E2-QS,NO_SHIFT,Information_Aligned_Late_Commitment,52103,success,1,0,0,0,0,0,2518639a72e2cadea82e68eccc8109476ddc77a817bc4f259e3d9fd7bda9677d
355,E2-QS-01__NO_SHIFT__LATE__S52104,E2-QS-01,E2-QS,NO_SHIFT,Information_Aligned_Late_Commitment,52104,success,1,0,0,0,0,0,9e3f7c65649565648da4240d326d1b1060bf0e86831c17bcf154f4259b5327e4
62,E2-QS-01__NO_SHIFT__LATE__S52105,E2-QS-01,E2-QS,NO_SHIFT,Information_Aligned_Late_Commitment,52105,success,1,0,0,0,0,0,9b087aa7a7b44cbf3dde0b8c0b9f36f474d0cf2a01b72a7881e572e1e95d5b5e
484,E2-QS-01__SHIFT__EARLY__S52101,E2-QS-01,E2-QS,SHIFT,Early_Commitment,52101,success,1,0,0,0,0,0,63c4649042da605333acaa65b7a24fc946d09a8eec92e5db2e30c0fc34317956
399,E2-QS-01__SHIFT__EARLY__S52102,E2-QS-01,E2-QS,SHIFT,Early_Commitment,52102,success,1,0,0,0,0,0,3e3f7842640a6d6b15fe1fffb7b109d95c7c7d5f3298fac4fcddfafbd59b0382
527,E2-QS-01__SHIFT__EARLY__S52103,E2-QS-01,E2-QS,SHIFT,Early_Commitment,52103,success,1,0,0,0,0,0,890030bc7bb0df2dc053d43f8c72997b3d4aa375e5b48e9a5fb0f1c69e432afa
89,E2-QS-01__SHIFT__EARLY__S52104,E2-QS-01,E2-QS,SHIFT,Early_Commitment,52104,success,1,0,0,0,0,0,b3a2a8503006669122e21bd62ed8c07fa5b8afd8ea04c11d7e88cdc421a49bae
149,E2-QS-01__SHIFT__EARLY__S52105,E2-QS-01,E2-QS,SHIFT,Early_Commitment,52105,success,1,0,0,0,0,0,579bdd9fdca0bf89645d6d4a7a8299a68ec83cf83915e4ba6919347c809214db
23,E2-QS-01__SHIFT__LATE__S52101,E2-QS-01,E2-QS,SHIFT,Information_Aligned_Late_Commitment,52101,success,1,0,0,0,0,0,b3ec6c32a10750da8d5c7ffbd3264c07c06c562307a401aab9983b6ff5323161
259,E2-QS-01__SHIFT__LATE__S52102,E2-QS-01,E2-QS,SHIFT,Information_Aligned_Late_Commitment,52102,success,1,0,0,0,0,0,7f5b43652fe75c1546886ba86a6e80520544728ac5683468da138c675a94f23f
288,E2-QS-01__SHIFT__LATE__S52103,E2-QS-01,E2-QS,SHIFT,Information_Aligned_Late_Commitment,52103,success,1,0,0,0,0,0,eeb87bc8b96095b01f6f458b63115592d022629412f0b8a896aa95aa04635257
188,E2-QS-01__SHIFT__LATE__S52104,E2-QS-01,E2-QS,SHIFT,Information_Aligned_Late_Commitment,52104,success,1,0,0,0,0,0,78493872ba598847bc7966de263ee0fa4e61b2440cf48238d2c6dc2bb8ab401c
148,E2-QS-01__SHIFT__LATE__S52105,E2-QS-01,E2-QS,SHIFT,Information_Aligned_Late_Commitment,52105,success,1,0,0,0,0,0,384ead74fa6998dd3acb27d297cdfb68cbf7b1735903a3be2ca8e8818cb86f33
429,E2-RC-01__NO_SHIFT__EARLY__S52101,E2-RC-01,E2-RC,NO_SHIFT,Early_Commitment,52101,success,1,0,0,0,0,0,93f14755e00305be9e6f4fa72e1565c128e61ccaa195370c90a1cd09cec07eae
240,E2-RC-01__NO_SHIFT__EARLY__S52102,E2-RC-01,E2-RC,NO_SHIFT,Early_Commitment,52102,success,1,0,0,0,0,0,535e0113cb14fe756008c7e20777225230f93f47d8e6b738e626c360c97c6844
602,E2-RC-01__NO_SHIFT__EARLY__S52103,E2-RC-01,E2-RC,NO_SHIFT,Early_Commitment,52103,success,1,0,0,0,0,0,d3a4b0b56c14c8e495074dfc872bc25cbac8e3c4d3864391398f245fd0656566
15,E2-RC-01__NO_SHIFT__EARLY__S52104,E2-RC-01,E2-RC,NO_SHIFT,Early_Commitment,52104,success,1,0,0,0,0,0,55b3a21fd942a996fb88b8554bba1cdc7247df5f810e63eab020edd8c338fb73
584,E2-RC-01__NO_SHIFT__EARLY__S52105,E2-RC-01,E2-RC,NO_SHIFT,Early_Commitment,52105,success,1,0,0,0,0,0,b3480a15391d6c281ff4ebb1b704f8cadef99b0030b674b560c55c80026f7b97
534,E2-RC-01__NO_SHIFT__LATE__S52101,E2-RC-01,E2-RC,NO_SHIFT,Information_Aligned_Late_Commitment,52101,success,1,0,0,0,0,0,063d657d9dcb99ca05f602dc57d2977f1c9b2be504970d10a510724107afc799
591,E2-RC-01__NO_SHIFT__LATE__S52102,E2-RC-01,E2-RC,NO_SHIFT,Information_Aligned_Late_Commitment,52102,success,1,0,0,0,0,0,044c8b549ebd43870f7f893a72bbe41dcfc2cc497298cecef6a8194e7a2385c5
386,E2-RC-01__NO_SHIFT__LATE__S52103,E2-RC-01,E2-RC,NO_SHIFT,Information_Aligned_Late_Commitment,52103,success,1,0,0,0,0,0,7ecfad7d9af22baba86a843bef9bedeba44d07ef7ea1777d9e3e9275b9b72355
239,E2-RC-01__NO_SHIFT__LATE__S52104,E2-RC-01,E2-RC,NO_SHIFT,Information_Aligned_Late_Commitment,52104,success,1,0,0,0,0,0,8c060f41d3cd71dc635951a0c4896a69a051f33e85a529c74a164cbaeb72ae47
466,E2-RC-01__NO_SHIFT__LATE__S52105,E2-RC-01,E2-RC,NO_SHIFT,Information_Aligned_Late_Commitment,52105,success,1,0,0,0,0,0,f8b4f404e3464cdcc118842d7bceed3b3543b97604e8fdc2b91604f3be524e92
132,E2-RC-01__SHIFT__EARLY__S52101,E2-RC-01,E2-RC,SHIFT,Early_Commitment,52101,success,1,1,0,0,0,0,ecd1602083d0dc8c480e488f83f60b19ef54e8e5def3609669a357f052fa8fe1
121,E2-RC-01__SHIFT__EARLY__S52102,E2-RC-01,E2-RC,SHIFT,Early_Commitment,52102,success,1,1,0,0,0,0,7584d67eab1e109ae7e9aa051bf7fc03a669888160d3223151363c5e45f5be45
246,E2-RC-01__SHIFT__EARLY__S52103,E2-RC-01,E2-RC,SHIFT,Early_Commitment,52103,success,1,1,0,0,0,0,969ec333461de354d434dd62660fa41e3e5aaf25fc1a6f71c026c4a6f11925e7
322,E2-RC-01__SHIFT__EARLY__S52104,E2-RC-01,E2-RC,SHIFT,Early_Commitment,52104,success,1,1,0,0,0,0,ad1a120b87fe39b3d830b19150b5f7b4f7ca63de53aae73e37bae9678fab6935
373,E2-RC-01__SHIFT__EARLY__S52105,E2-RC-01,E2-RC,SHIFT,Early_Commitment,52105,success,1,1,0,0,0,0,6389e784dc846de037406c250f3936b8bf782ca7aeaa90bdc5ca0ffbbfd59ffc
568,E2-RC-01__SHIFT__LATE__S52101,E2-RC-01,E2-RC,SHIFT,Information_Aligned_Late_Commitment,52101,success,1,0,0,0,0,0,fe7f15cd873cbc2e9d593385b24144757d0ac0eb6fc5f0acc5dc3e96abd798d6
505,E2-RC-01__SHIFT__LATE__S52102,E2-RC-01,E2-RC,SHIFT,Information_Aligned_Late_Commitment,52102,success,1,0,0,0,0,0,7b2b771b736cdff3a4d811ab2a073d20c5bb33634f689277547dd410a41f73ec
473,E2-RC-01__SHIFT__LATE__S52103,E2-RC-01,E2-RC,SHIFT,Information_Aligned_Late_Commitment,52103,success,1,0,0,0,0,0,7153eefd3966fd8588d7650ef82095201daa5ffb846f4048f83726ae41573278
593,E2-RC-01__SHIFT__LATE__S52104,E2-RC-01,E2-RC,SHIFT,Information_Aligned_Late_Commitment,52104,success,1,0,0,0,0,0,0f288facf284736562b698ca9e0f009c1cb73e682c6d21a3ae19256f98eee455
96,E2-RC-01__SHIFT__LATE__S52105,E2-RC-01,E2-RC,SHIFT,Information_Aligned_Late_Commitment,52105,success,1,0,0,0,0,0,585795146f5196b863372fcd40ab3be62c09825c22bbcde92fedbd3eb9026230
605,E2-RSV-01__NO_SHIFT__EARLY__S52101,E2-RSV-01,E2-RSV,NO_SHIFT,Early_Commitment,52101,success,1,0,0,0,0,0,5d80c83170f633cf608a0d33d58623dab15483d2f219345ca970fe8f90760745
45,E2-RSV-01__NO_SHIFT__EARLY__S52102,E2-RSV-01,E2-RSV,NO_SHIFT,Early_Commitment,52102,success,1,0,0,0,0,0,73c20021095cd7fc4e11a3594085148a163c4ae6391b6b8cbcc58b6b57790c11
197,E2-RSV-01__NO_SHIFT__EARLY__S52103,E2-RSV-01,E2-RSV,NO_SHIFT,Early_Commitment,52103,success,1,0,0,0,0,0,9a3f8d9d2182ca318638df094857dab767e8a9119b5213893b918e06e5619e4e
558,E2-RSV-01__NO_SHIFT__EARLY__S52104,E2-RSV-01,E2-RSV,NO_SHIFT,Early_Commitment,52104,success,1,0,0,0,0,0,3a9c97579fed1e4edfa9b72ab8fd47cb2369d15955183f7c2ca69e8f40a83828
436,E2-RSV-01__NO_SHIFT__EARLY__S52105,E2-RSV-01,E2-RSV,NO_SHIFT,Early_Commitment,52105,success,1,0,0,0,0,0,dd994a214a8d37e6929abf85ec595cb4ce78d8d8e44653c198bdf255594044f4
305,E2-RSV-01__NO_SHIFT__LATE__S52101,E2-RSV-01,E2-RSV,NO_SHIFT,Information_Aligned_Late_Commitment,52101,success,1,0,0,0,0,0,52bbf94a2e9cd4e4490023e92d1a26d9aa66da517f60d4dd38606b9d11fefe3d
421,E2-RSV-01__NO_SHIFT__LATE__S52102,E2-RSV-01,E2-RSV,NO_SHIFT,Information_Aligned_Late_Commitment,52102,success,1,0,0,0,0,0,0c5231ebca7f07f545559094b055c8ddb1cf870828a557384ca7d2731429f2ae
432,E2-RSV-01__NO_SHIFT__LATE__S52103,E2-RSV-01,E2-RSV,NO_SHIFT,Information_Aligned_Late_Commitment,52103,success,1,0,0,0,0,0,cc1adda6533e3c1c02909db3755ccc50075088b32b9054fcfc6dc45c2888b7fa
191,E2-RSV-01__NO_SHIFT__LATE__S52104,E2-RSV-01,E2-RSV,NO_SHIFT,Information_Aligned_Late_Commitment,52104,success,1,0,0,0,0,0,afe8f4fd9e2909d9c5ec9b4ea5768e1552b7d0857109c48d1f455be7e64cd697
579,E2-RSV-01__NO_SHIFT__LATE__S52105,E2-RSV-01,E2-RSV,NO_SHIFT,Information_Aligned_Late_Commitment,52105,success,1,0,0,0,0,0,5d2f95a7f002ba5697c54b29e6910be2b61b2d3466c272a27527ce58fc42a818
454,E2-RSV-01__SHIFT__EARLY__S52101,E2-RSV-01,E2-RSV,SHIFT,Early_Commitment,52101,success,1,1,1,1,0,1,b915456a1b8588572782d4e42f60f6661e2ccb4986626615bded85122d5c00dc
192,E2-RSV-01__SHIFT__EARLY__S52102,E2-RSV-01,E2-RSV,SHIFT,Early_Commitment,52102,success,1,1,1,1,0,1,e0eb2b96cbead1b8c1f3d61833fced6edca5b7a5906a77b7e06b729e4fd1f82e
262,E2-RSV-01__SHIFT__EARLY__S52103,E2-RSV-01,E2-RSV,SHIFT,Early_Commitment,52103,success,1,1,1,1,0,1,3fad5f1167a78694c1609192516ff98a26a734425d87526022ed0bba67e63304
26,E2-RSV-01__SHIFT__EARLY__S52104,E2-RSV-01,E2-RSV,SHIFT,Early_Commitment,52104,success,1,1,1,1,0,1,9cf5cb44a39c3d908a907406f8ef57fb7ed89716ed98fae7f41b65bbb562ed14
