trial_id,candidate_id,scenario_id,seed,axis,event_index,zero_crossings_cross_metric_only,left_index,right_index,time_s,bracket_dt_s,target_relative_interpolated_abs_m,target_relative_bracket_near_abs_m,target_relative_bracket_max_abs_m,centered_bracket_near_abs_m,centered_bracket_max_abs_m
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,3,1,41,42,0.8399674894870856,0.020000457763671875,0.001989288330078125,0.00036644935607910156,0.0026183128356933594,0.0006290245056152343,0.0023557376861572266
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,4,1,58,59,1.1695841699537521,0.02000594139099121,0.001989288330078125,0.0009853839874267578,0.002363443374633789,0.000374155044555664,0.0010039043426513673
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,5,1,61,62,1.2312883275597097,0.01999974250793457,0.001989288330078125,0.0014383792877197266,0.0029900074005126953,0.0005509090423583985,0.0010007190704345702
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,6,1,79,80,1.5929348397060474,0.02000260353088379,0.001989288330078125,0.0012500286102294922,0.0025653839111328125,0.0005760955810546874,0.0007392597198486329
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,7,1,80,81,1.6088535143491656,0.019994020462036133,0.001989288330078125,0.0012500286102294922,0.004410505294799805,0.0007392597198486329,0.0024212169647216796
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,8,1,118,119,2.3835387367038305,0.020032644271850586,0.001989288330078125,0.0019092559814453125,0.004228115081787109,8.003234863281257e-05,0.0022388267517089843
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,9,1,120,121,2.4162559846599114,0.019988298416137695,0.001989288330078125,0.0002448558807373047,0.0031418800354003906,0.0011525917053222656,0.0017444324493408204
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,10,1,159,160,3.194364639292065,0.019967317581176758,0.001989288330078125,0.0005505084991455078,0.003462553024291992,0.0014387798309326173,0.0014732646942138671
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,11,1,160,161,3.2164237182781386,0.019997835159301758,0.001989288330078125,0.0005505084991455078,0.002910137176513672,0.0009208488464355468,0.0014387798309326173
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,12,1,175,176,3.5100732367929424,0.019930362701416016,0.001989288330078125,0.0010912418365478516,0.002354860305786133,0.00036557197570800774,0.0008980464935302735
