trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,critical_violation_count,arrival_time_variance,failed_assignment,critical_failed_assignment,total_cost,compute_time_ms
49,large,1065948260,8,hungarian_crossing_penalty,"[6,4,0,2,1,3,7,5]",22.351718,2.793965,0,0,2.340549,0.000000,0,0,2.255261,0,0,22.351718,27.634728
49,large,1065948260,8,safety_aware_local_swap,"[6,4,0,2,1,3,7,5]",22.351718,2.793965,0,0,2.340549,0.000000,0,0,2.255261,0,0,22.351718,27.541032
50,large,1203064285,8,random,"[4,1,6,5,7,2,0,3]",67.526171,8.440771,6,9,0.657187,7.080807,153,58,11.396052,1,1,224.606977,0.004869
50,large,1203064285,8,nearest_neighbor,"[0,3,2,4,6,1,5,7]",36.831020,4.603878,1,2,0.292670,3.994806,75,34,5.843804,1,1,70.825826,0.069020
50,large,1203064285,8,hungarian_distance,"[0,3,5,1,6,2,4,7]",33.903880,4.237985,0,1,0.680975,1.466330,60,40,6.108009,1,1,45.370210,0.014648
50,large,1203064285,8,hungarian_crossing_penalty,"[0,3,5,1,6,2,4,7]",33.903880,4.237985,0,1,0.680975,1.466330,60,40,6.108009,1,1,45.370210,27.454339
50,large,1203064285,8,safety_aware_local_swap,"[0,3,5,2,6,1,4,7]",33.987654,4.248457,1,0,2.111074,0.000000,0,0,3.849022,0,0,43.987654,54.456539
51,large,39487602,8,random,"[0,1,7,5,4,2,3,6]",53.361565,6.670196,3,1,1.989239,0.502452,4,0,8.415646,1,0,93.864018,0.005350
51,large,39487602,8,nearest_neighbor,"[7,0,4,6,3,2,1,5]",24.031528,3.003941,0,0,3.339684,0.000000,0,0,0.541213,0,0,24.031528,0.067447
51,large,39487602,8,hungarian_distance,"[7,0,4,6,3,2,1,5]",24.031528,3.003941,0,0,3.339684,0.000000,0,0,0.541213,0,0,24.031528,0.013936
51,large,39487602,8,hungarian_crossing_penalty,"[7,0,4,6,3,2,1,5]",24.031528,3.003941,0,0,3.339684,0.000000,0,0,0.541213,0,0,24.031528,27.646681
51,large,39487602,8,safety_aware_local_swap,"[7,0,4,6,3,2,1,5]",24.031528,3.003941,0,0,3.339684,0.000000,0,0,0.541213,0,0,24.031528,27.421017
52,large,1506511782,8,random,"[7,6,3,0,5,4,2,1]",56.086013,7.010752,5,6,0.198555,13.588092,143,92,19.113751,1,1,179.674105,0.004619
52,large,1506511782,8,nearest_neighbor,"[1,4,3,0,2,7,5,6]",38.456874,4.807109,1,1,1.870220,0.534411,17,0,6.557261,1,0,58.991285,0.067086
52,large,1506511782,8,hungarian_distance,"[1,5,4,7,3,0,2,6]",34.556675,4.319584,0,0,2.798042,0.000000,0,0,3.854759,0,0,34.556675,0.014367
52,large,1506511782,8,hungarian_crossing_penalty,"[1,5,4,7,3,0,2,6]",34.556675,4.319584,0,0,2.798042,0.000000,0,0,3.854759,0,0,34.556675,28.036723
52,large,1506511782,8,safety_aware_local_swap,"[1,5,4,7,3,0,2,6]",34.556675,4.319584,0,0,2.798042,0.000000,0,0,3.854759,0,0,34.556675,28.036853
53,large,1679974766,8,random,"[7,3,6,5,4,0,2,1]",48.019518,6.002440,1,1,1.307483,0.764244,42,19,4.843953,1,1,68.783761,0.004658
53,large,1679974766,8,nearest_neighbor,"[1,4,6,5,3,0,2,7]",38.860512,4.857564,0,0,2.720120,0.000000,0,0,3.160509,0,0,38.860512,0.066064
53,large,1679974766,8,hungarian_distance,"[1,5,7,6,3,0,2,4]",32.033787,4.004223,0,0,2.521228,0.000000,0,0,2.648598,0,0,32.033787,0.014076
53,large,1679974766,8,hungarian_crossing_penalty,"[1,5,7,6,3,0,2,4]",32.033787,4.004223,0,0,2.521228,0.000000,0,0,2.648598,0,0,32.033787,27.329474
53,large,1679974766,8,safety_aware_local_swap,"[1,5,7,6,3,0,2,4]",32.033787,4.004223,0,0,2.521228,0.000000,0,0,2.648598,0,0,32.033787,27.379138
54,large,1234493553,8,random,"[5,7,1,3,2,0,6,4]",56.958271,7.119784,6,3,1.054015,2.060673,37,10,8.005274,1,1,149.018944,0.004739
54,large,1234493553,8,nearest_neighbor,"[7,3,0,5,4,6,1,2]",30.959898,3.869987,0,2,1.111340,1.502837,50,15,11.952612,1,1,52.462735,0.067607
54,large,1234493553,8,hungarian_distance,"[7,3,1,2,4,6,0,5]",25.788344,3.223543,0,0,3.043293,0.000000,0,0,4.580432,0,0,25.788344,0.013986
54,large,1234493553,8,hungarian_crossing_penalty,"[7,3,1,2,4,6,0,5]",25.788344,3.223543,0,0,3.043293,0.000000,0,0,4.580432,0,0,25.788344,27.460310
54,large,1234493553,8,safety_aware_local_swap,"[7,3,1,2,4,6,0,5]",25.788344,3.223543,0,0,3.043293,0.000000,0,0,4.580432,0,0,25.788344,27.532676
