scenario_id,seed,metric,smooth,normal,aggressive,normal_minus_smooth,aggressive_minus_normal,aggressive_minus_smooth
E4A-DIAGONAL-3D,54101,tracking_RMSE,0.17692538980184028,0.13091890029818257,0.10737844000916516,-0.04600648950365771,-0.023540460289017406,-0.06954694979267512
E4A-DIAGONAL-3D,54102,tracking_RMSE,0.170250277213877,0.131156330273487,0.10971809628343451,-0.039093946940390006,-0.021438233990052485,-0.06053218093044249
E4A-DIAGONAL-3D,54103,tracking_RMSE,0.1811277600387726,0.129978352336592,0.11206070085203762,-0.0511494077021806,-0.017917651484554376,-0.06906705918673497
E4A-DIAGONAL-3D,54104,tracking_RMSE,0.18007910842314537,0.12919996350890095,0.10759688110404173,-0.05087914491424442,-0.021603082404859225,-0.07248222731910364
E4A-DIAGONAL-3D,54105,tracking_RMSE,0.17325238564354026,0.1304747707217436,0.10695826148645499,-0.04277761492179666,-0.023516509235288613,-0.06629412415708527
E4A-HORIZONTAL,54101,tracking_RMSE,0.16079590058707838,0.11652727365674714,0.09838333792629841,-0.044268626930331234,-0.01814393573044873,-0.06241256266077996
E4A-HORIZONTAL,54102,tracking_RMSE,0.15999936165896356,0.11272797894593986,0.09934915859609729,-0.047271382713023696,-0.013378820349842571,-0.06065020306286627
E4A-HORIZONTAL,54103,tracking_RMSE,0.15380112885040706,0.11408580431450296,0.09624194351788654,-0.039715324535904095,-0.01784386079661643,-0.057559185332520524
E4A-HORIZONTAL,54104,tracking_RMSE,0.14433638447774808,0.10969724172592954,0.09521991355195729,-0.034639142751818536,-0.014477328173972251,-0.04911647092579079
E4A-HORIZONTAL,54105,tracking_RMSE,0.1559389782559278,0.11649154999131621,0.09959372719991919,-0.0394474282646116,-0.016897822791397024,-0.05634525105600863
E4A-VERTICAL,54101,tracking_RMSE,0.06839886002091923,0.04521005304342542,0.0366100703354351,-0.023188806977493807,-0.008599982707990325,-0.03178878968548413
E4A-VERTICAL,54102,tracking_RMSE,0.0677034813189028,0.04549550323267185,0.03781916391952347,-0.022207978086230956,-0.0076763393131483795,-0.029884317399379336
E4A-VERTICAL,54103,tracking_RMSE,0.06762671535160586,0.04579654543371496,0.036835876483109584,-0.0218301699178909,-0.008960668950605377,-0.030790838868496276
E4A-VERTICAL,54104,tracking_RMSE,0.06761288547783009,0.04767821154453665,0.042345420550365075,-0.019934673933293443,-0.005332790994171575,-0.025267464927465018
E4A-VERTICAL,54105,tracking_RMSE,0.06705953798664595,0.04334916228284683,0.03194974402713257,-0.023710375703799115,-0.011399418255714264,-0.03510979395951338
